COURSECODE,COURSENAME,COURSENAMEENG,CREDITMIN,CREDITMAX,CREDITTOTAL
320219,การโปรแกรมเชิงวัตถุ,OBJECT ORIENTED PROGRAMMING,3,3,3
320220,การสร้างโปรแกรมบนเว็บ,WEB PROGRAMMING,3,3,3
320221,การสร้างโปรแกรมภาษาจาวา,JAVA PROGRAMMING,3,3,3
320312,โครงสร้างข้อมูล,DATA STRUCTURES,3,3,3
320212,การเขียนโปรแกรมภาษาซี,PROGRAMMING IN C LANGUAGE,3,3,3
320317,การวิเคราะห์ขั้นตอนวิธี,ANALYSIS OF ALGORITHMS,3,3,3
320320,ระบบสารสนเทศภูมิศาสตรขั้นแนะนำ,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEM,3,3,3
320321,ทฤษฏีการคำนวณ,THEORY OF COMPUTATION,3,3,3
320322,การพัฒนาโปรแกรมประยุกต์แบบไคลเอนต์-เซิร์ฟเวอร์,CLIENT-SERVER APPLICATION DEVELOPMENT,3,3,3
320411,ระบบปฏิบัติการ,OPERATING SYSTEMS,3,3,3
320417,ปัญหาประดิษฐ์และระบบผู้เชี่ยวชาญ,ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEM,3,3,3
320421,ยูนิกซ์ขั้นพื้นฐาน,UNIX FUNDAMENTALS,3,3,3
320422,ภาษาคอมพิวเตอร์ยุคที่ 4,FOURTH GENERATION LANGUAGE FOR COMPUTER,3,3,3
320423,ระบบผู้เชี่ยวชาญ,EXPERT SYSTEMS,3,3,3
320424,การเชื่อมต่อเครือข่ายคอมพิวเตอร์,COMPUTER INTERNETWORKING,3,3,3
320425,ปฏิบัติการเครือข่ายและรบบปฏิบัติการ,NETWORKING AND OPERATING SYSTEMS LABORATORY,3,3,3
320491,สัมมนา,SEMINAR,1,1,1
320761,หลักการการรับรู้จากระยะไกล,PRINCIPLES OF REMOTE SENSING,3,3,3
320762,การประมวลผลภาพเชิงตัวเลข,DIGITAL  IMAGE  PROCESSING,3,3,3
320780,การประยุกต์ภาษาซีในระบบสารสนเทศภูมิศาสตร์,C  LANGUAGE  APPLICATION IN GIS,3,3,3
320891,สัมมนา 1,SEMINAR I,1,1,1
320892,สัมมนา 2,SEMINAR II,1,1,1
320899,วิทยานิพนธ์,THESIS,1,12,12
320494,โครงงานคอมพิวเตอร์,COMPUTER PROJECT,2,2,2
320102,การใช้คอมพิวเตอร์ในวิธีการทางวิทยาศาสตร์,COMPUTER USAGE IN SCIENTIFIC METHODS,3,3,3
320103,คอมพิวเตอร์เบื้องต้น,INTRODUCTION TO COMPUTER,3,3,3
320215,การเขียนโปรแกรมภาษาฟอร์แทรน,PROGRAMMING IN FORTRAN LANGUAGE,3,3,3
320419,การจัดการศูนย์คอมพิวเตอร์,COMPUTER CENTRE MANAGEMENT,3,3,3
320481,เรื่องในแขนงวิทยาการคอมพิวเตอร์,TOPICS IN COMPUTER SCIENCE,3,3,0
320211,การเขียนโปรแกรมแอสแซมบลี,ASSEMBLY LANGUAGE PROGRAMMING,3,3,3
320213,การเขียนโปรแกรมภาษาโคบอล,PROGRAMMING IN COBOL LANGUAGE,3,3,3
320320,ระบบสารสนเทศภูมิศาสตรขั้นแนะนำ,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEM,3,3,3
320219,การเขียนโปรแกรมเชิงวัตถุ,OBJECT- ORIENTED PROGRAMMING,3,3,3
320221,การสร้างโปรแกรมภาษาจาวา,JAVA PROGRAMMING,3,3,3
320321,ทฤษฏีการคำนวณ,THEORY OF COMPUTATION,3,3,3
320313,การประมวลผลแฟ้มข้อมูล,FILE PROCESSING,3,3,3
320323,การประมวลผลภาพทางการแพทย์,MEDICAL IMAGE PROCESSING,3,3,3
320416,ระบบสารสนเทศเพื่อการจัดการ,MANAGEMENT INFORMATION SYSTEM,3,3,3
322341,ปัญญาประดิษฐ์,ARTIFICIAL INTELLIGENCE,3,3,3
322352,การวิเคราะห์ขั้นตอนวิธี,ANALYSIS OF ALGORITHMS,3,3,3
322372,การวิเคราะห์และออกแบบระบบ,SYSTEMS ANALYSIS AND DESIGN,3,3,3
322421,ปฏิบัติการระบบข่ายงานและระบบปฏิบัติการ,NETWORKING AND OPERATING SYSTEMS LABORATORY,3,3,3
322721,ทฤษฎีการคำนวณ,THEORY OF COMPUTATION,3,3,3
322741,องค์การและสถาปัตยกรรมคอมพิวเตอร์,COMPUTER ARCHITECTURE AND ORGANIZATION,3,3,3
322726,ระบบแบบกระจาย,DISTRIBUTED SYSTEMS,3,3,3
322732,การพาณิชย์อิเล็กทรอนิกส์,ELECTRONIC COMMERCE,3,3,3
322744,การบริหารเครือข่ายคอมพิวเตอร์,COMPUTER NETWORK ADMINISTRATION,3,3,3
322753,การเรียนรู้เครื่อง,MACHINE LEARNING,3,3,3
322771,หัวเรื่องพิเศษทางวิทยาการคอมพิวเตอร์,SPECIAL TOPICS IN COMPUTER SCIENCE,3,3,3
322892,สัมมนาวิทยาการคอมพิวเตอร์ 2,COMPUTER SCIENCE SEMINAR II,3,3,1
322898,วิทยานิพนธ์,THESIS,1,44,44
322214,ขั้นตอนวิธีและโครงสร้างข้อมูล,ALGORITHM AND DATA STRUCTURES,3,3,4
322334,การพัฒนาการประยุกต์แบบรับ-ให้บริการ,CLIENT/SERVER APPLICATION DEVELOPMENT,3,3,3
322311,ทฤษฏีการคำนวณ,THEORY OF COMPUTATION,3,3,3
322232,ภูมิสารสนเทศขั้นแนะนำ,INTRODUCTION TO GEOINFORMATICS,3,3,3
322251,การเขียนโปรแกรมจาวา,PROGRAMMING IN JAVA,3,3,3
322472,การพัฒนาและการจัดการซอฟต์แวร์,SOFTWARE DEVELOPMENT AND MANAGEMANT,3,3,3
322495,โครงงานคอมพิวเตอร์ 2,COMPUTER PROJECT II,3,3,4
320316,การประยุกต์คอมพิวเตอร์ในธุรกิจ,COMPUTER APPLICATION IN BUSINESS,3,3,3
322103,คอมพิวเตอร์ขั้นแนะนำ,INTRODUCTION TO COMPUTER,3,3,3
322104,การเขียนโปรแกรมเชิงโครงสร้าง,STRUCTURED PROGRAMMING,3,3,3
322322,เครือข่ายคอมพิวเตอร์,COMPUTER NETWORKS,3,3,4
322748,ความมั่นคงเทคโนโลยีสารสนเทศ,INFORMATION TECHNOLOGY SECURITY,3,3,3
322743,เครื่อข่ายคอมพิวเตอร์ขั้นสูง,ADVANCED COMPUTER NETWORKS,3,3,3
322494,โครงงานคอมพิวเตอร์ 1,COMPUTER PROJECT I,3,3,2
322497,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 1,SPECIAL TOPIC IN COMPUTER SCIENCE I,3,3,3
322498,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 2,SPECIAL TOPIC IN COMPUTER SCIENCE II,3,3,3
322233,การจัดการแฟ้มข้อมูลและฐานข้อมูล,FILE AND DATABASE MANAGEMANT,3,3,4
322121,องค์ประกอบคอมพิวเตอร์และภาษาแอสเซมบลี,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE,3,3,4
322211,ขั้นตอนวิธีและโครงสร้างข้อมูล,ALGORITHMS AND DATA STRUCTRES,3,3,4
320318,การค้นคืนสารสนเทศเบื้องต้น,INTRODUCTION TO INFORMATION RETRIEVAL,3,3,3
320412,การวิเคราะห์และการออกแบบระบบ,SYSTEMS ANALYSIS AND DESIGN,3,3,3
320414,วิศวกรรมซอฟต์แวร์,SOFTWARE ENGINEERING,3,3,3
322782,ปฏิบัติการทางเทคโนโลยีสารสนเทศ 1,INFORMATION TECHNOLOGY WORKSHOP I,3,3,1
322783,ปฏิบัติการทางเทคโนโลยีสารสนเทศ 2,INFORMATION TECHNOLOGY WORKSHOP II,3,3,1
320416,ระบบสารสนเทศเพื่อการจัดการ,MANAGEMENT INFORMATION SYSTEM,3,3,3
322111,การเขียนโปรแกรมขั้นแนะนำ,INTRODUCTION TO PROGRAMMING,3,3,4
322231,หลักการพัฒนาซอฟต์แวร์,PRINCIPLES OF SOFTWARE DEVELOPMENT,3,3,3
322234,การรับรู้ระยะไกลขั้นแนะนำ,INTRODUCTION TO REMOTE SENSING,3,3,3
322252,การเขียนโปรแกรมจาวาขั้นสูง,ADVANCED PROGRAMMING IN JAVA,3,3,3
322253,หลักภาษาโปรแกรม,PRINCIPLES OF PROGRAMMING LANGUAGES,3,3,3
320315,การโปรแกรมระบบ,SYSTEMS PROGRAMMING,3,3,3
322891,สัมมนาเทคโนโลยีสารสนเทศ 1,INFORMATION TECHNOLOGY SEMINAR I,3,3,1
322892,สัมมนาเทคโนโลยีสารสนเทศ2,INFORMATION TECHNOLOGY  SEMINAR II,3,3,1
322898,วิทยานิพนธ์,THESIS,0,39,39
320311,องค์ประกอบระบบคอมพิวเตอร์,COMPUTER ORGANIZATION,3,3,3
320313,การประมวลผลแฟ้มข้อมูล,FILE PROCESSING,3,3,3
322361,สถาปัตยกรรมระบบคอมพิวเตอร์,COMPUTER SYSTEMS ARCHITECTURE,3,3,3
322331,การประยุกต์คอมพิวเตอร์ในธุรกิจ,COMPUTER APPLICATION IN BUSINESS,3,3,3
322332,คอมพิวเตอร์เรขภาพ,COMPUTER GRAPHICS,3,3,3
322333,ระบบฐานข้อมูลขั้นสูง,ADVANCED DATABASE SYSTEMS,3,3,3
322335,ภาพเคลื่อนไหวด้วยคอมพิวเตอร์,COMPUTER ANIMATION,3,3,3
322351,การแปลภาษาโปรแกรม,TRANSLATION OF PROGRAMMING LANGUAGES,3,3,3
320420,สมรรถนะระบบคอมพิวเตอร์,COMPUTER SYSTEM PERFORMANCE,3,3,3
320418,การพัฒนาและจัดการซอฟต์แวร์,SOFTWARE DEVELOPMENT AND MANAGEMENT,3,3,3
322321,ระบบปฏิบัติการ,OPERATING SYSTEMS,3,3,4
322724,การออกแบบและวิเคราะห์เชิงวัตถุ,OBJECT-ORIENTED DESIGN AND ANALYSIS,3,3,3
322726,ระบบแบบกระจาย,DISTRIBUTED SYSTEMS,3,3,3
322744,การบริหารเครือข่ายคอมพิวเตอร์,COMPUTER NETWORK ADMINISTRATION,3,3,3
322746,การคอมพิวเตอร์แบบกระจายและขนาน,PARALLEL AND DISTRIBUTED COMPUTING,3,3,3
322752,เครือข่ายประสาทเทียม,ARTIFICIAL NEURAL NETWORKS,3,3,3
322772,หัวข้อเรื่องพิเศษทางเทคโนโลยีสารสนเทศ,SPECIAL TOPICS IN INFORMATION TECHNOLOGY,3,3,3
320111,คอมพิวเตอร์เบื้องต้น,INTRODUCTION TO COMPUTER,3,3,3
322754,วิศวกรรมฐานความรู้,KNOWLEDGE ENGINEERING,3,3,3
322374,การประมวลผลภาพทางการแพทย์,MEDICAL IMAGE PROCESSING,3,3,4
322441,เครือข่ายประสาท,NEURAL NETWORKS,3,3,3
322461,สถาปัตยกรรมข่ายงาน,NETWORK ARCHITECTURE,3,3,3
322462,การเชื่อมต่ออินเตอร์เน็ต,INTERNETWORKING,3,3,3
322471,การจัดการเทคโนโลยีสารสนเทศ,MANAGEMANT OF INFORMATION TECHNOLOGY,3,3,3
322490,สหกิจศึกษา,CO-OPERATIVE EDUCATION,3,3,6
320101,ไมโครคอมพิวเตอร์และการใช้งาน,MICROCOMPUTER AND APPLICATIONS,2,2,2
322373,การพาณิชย์อิเล็กทรอนิกส์,ELECTRONIC COMMERCE,3,3,3
320218,การเขียนโปรแกรมภาษาอาร์พีจี,PROGRAMMING IN RPG LANGUAGE,3,3,3
320214,การเขียนโปรแกรมภาษาเบสิก,PROGRAMMING IN BASIC LANGUAGE,3,3,3
320216,การเขียนโปรแกรมภาษาปาสคาล,PROGRAMMING IN PASCAL LANGUAGE,3,3,3
320217,การเขียนโปรแกรมภาษาโปรล็อก,COMPUTER PROGRAMMING IN PROLOG,3,3,3
322362,สมรรถนะระบบคอมพิวเตอร์,COMPUTER SYSTEMS PERFORMANCE,3,3,3
322371,วิศวกรรมซอฟต์แวร์,SOFTWARE ENGINEERING,3,3,3
322722,การวิเคราะห์และออกแบบขั้นตอนวิธี,ALGORITHM ANALYSIS AND DESIGN,3,3,3
322723,ระบบปฏิบัติการ,OPERATING SYSTEMS,3,3,3
322724,การออกแบบและวิเคราะห์เชิงวัตถุ,OBJECT-ORIENTED DESIGN AND ANALYSIS,3,3,3
322725,วิศวกรรมส่วนชุดคำสั่งขั้นสูง,ADVANCED SOFTWARE ENGINEERING,3,3,3
322731,เทคโนโลยีอินเทอร์เน็ตและวิศวกรรมเว็บ,INTERNET TECHNOLOGIES AND WEB ENGINEERING,3,3,3
320781,ระบบสารสนเทศภูมิศาสตร์,GEOGRAPHIC  INFORMATION SYSTEM,3,3,3
320314,ระบบการจัดการฐานข้อมูล,DATABASE MANAGEMENT SYSTEMS,3,3,3
320316,การประยุกต์คอมพิวเตอร์ในธุรกิจ,COMPUTER APPLICATION IN BUSINESS,3,3,3
320211,การเขียนโปรแกรมแอสแซมบลี,ASSEMBLY LANGUAGE PROGRAMMING,3,3,3
320213,การเขียนโปรแกรมภาษาโคบอล,PROGRAMMING IN COBOL LANGUAGE,3,3,3
322711,หลักการภาษาโปรแกรม,PRINCIPLES OF PROGRAMMING LANGUAGES,3,3,3
322733,ระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN,3,3,3
322751,กระบวนทัศน์ปัญญาประดิษฐ์,PARADIGMS OF ARTIFICIAL INTELLIGENCE,3,3,3
322761,เรขภาพคอมพิวเตอร์ขั้นสูง,ADVANCED COMPUTER GRAPHICS,3,3,3
322762,การประมวลผลภาพดิจิทัลขั้นสูง,ADVANCED DIGITAL IMAGE PROCESSING,3,3,3
322891,สัมมนาวิทยาการคอมพิวเตอร์ 1,COMPUTER SCIENCE SEMINAR I,3,3,1
322897,การศึกษาอิสระ,INDEPENDENT STUDY,1,6,6
322899,วิทยานิพนธ์,THESIS,1,12,12
322734,เทคโนโลยีสารสนเทศและการจัดการ,INFORMATION TECHNOLOGY AND MANAGEMENT,3,3,3
322735,เทคโนโลยี XML และการประยุกต์,XML TECHNOLOGIES AND APPLICATIONS,3,3,3
322373,การพาณิชย์อิเล็กทรอนิกส์,ELECTRONIC COMMERCE,3,3,3
322745,ความมั่นคงระบบคอมพิวเตอร์,COMPUTER SYSTEM SECURITY,3,3,3
320319,คอมพิวเตอร์เรขภาพ,COMPUTER GRAPHIC,3,3,3
320413,การสื่อสารข้อมูลและเครื่อข่าย,DATA COMMUNICATION AND NETWORK,3,3,3
320415,การออกแบบตัวแปลโปรแกรมเบื้องต้น,INTRODUCTION TO COMPILER DESIGN,3,3,3
322746,การคอมพิวเตอร์แบบกระจายและขนาน,PARALLEL AND DISTRIBUTED COMPUTING,3,3,3
322747,การประเมินสมรรถนะคอมพิวเตอร์,COMPUTER PERFORMANCE EVALUATION,3,3,3
322728,การพัฒนาซอฟท์แวร์และการจัดการโครงการ,SOFTWARE DEVELOPMENT AND PROJECT MANAGEMENT,3,3,3
322755,ระบบสนับสนุนการตัดสินใจ,DECISION SUPPORT SYSTEMS,3,3,3
322742,เครือข่ายการสื่อสารคอมพิวเตอร์,COMPUTER COMMUNICATION NETWORKS,3,3,3
322232,ภูมิสารสนเทศขั้นแนะนำ,INTRODUCTION TO GEOINFORMATICS,3,3,3
322102,การใช้คอมพิวเตอร์ในวิธีการทางวิทยาศาสตร์,COMPUTER USAGE IN SCIENTIFIC METHODS,3,3,3
322441,เครือข่ายประสาท,NEURAL NETWORKS,3,3,3
320782,ระบบสารสนเทศการจัดการทรัพยากร,RESOURCE MANAGEMENT INFORMATION SYSTEM,3,3,3
320783,ระบบการจัดการฐานข้อมูลและมาตรฐานระบบสารสนเทศภูมิศาสตร์,DATABASE  MANAGEMENT SYSTEM AND GEOGRAPHIC INFORMATION  SYSTEM,3,3,3
320894,ปัญหาพิเศษ,SPECIAL PROBLEMS,3,3,3
320898,วิทยานิพนธ์,THESIS,1,36,36
322736,เทคโนโลยีเว็บแบบสื่อความหมาย,SEMANTIC WEB TECHNOLOGIES,3,3,3
320772,ทรัพยากรที่ดินและสิ่งแวดล้อม,LAND RESOURCES AND ENVIRONMENT,3,3,3
320763,การรับรู้จากระยะไกลไมโครเวฟ,MICROWAVE REMOTE SENSING,3,3,3
322112,การเขียนโปรแกรมขั้นแนะนำ,INTRODUCTION TO PROGRAMMING,3,3,3
322161,เทคโนโลยีสารสนเทศและการสื่อสารขั้นแนะนำ,INTRODUCTION TO INFORMATION AND COMMUNICATION TECHNOLOGY,3,3,3
322162,องค์ประกอบและสถาปัตยกรรมคอมพิวเตอร์ขั้นแนะนำ,INTRODUCTION TO COMPUTER ORGANIZATION AND ARCHITECTURE,3,3,3
322212,โครงสร้างข้อมูล,DATA STRUCTURES,3,3,3
322854,,,3,3,0
322362,สมรรถนะระบบคอมพิวเตอร์,COMPUTER SYSTEMS PERFORMANCE,3,3,3
322363,การสื่อสารข้อมูล,DATA COMMUNICATIONS,3,3,3
322372,การวิเคราะห์และออกแบบระบบ,SYSTEMS ANALYSIS AND DESIGN,3,3,3
322339,ปฎิบัติการระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN LABORATORY,3,3,1
322353,ปฏิบัติการทางเทคโนโลยีสารสนเทศและการสื่อสาร:การพัฒนาซอฟต์แวร์แบบธุรกิจขั้นสูง,INFORMATION AND COMMUNICATION TECHNOLOGY LABORATORY: ENTERPRISE APPLICATION SOFTWARE DEVELOPMENT,3,3,3
322379,การจัดการความรู้,KNOWLEDGE MANAGEMENT,3,3,3
322373,การพาณิชย์อิเล็กทรอนิกส์,ELECTRONIC COMMERCE,3,3,3
322377,หัวข้อเรื่องพิเศษทางเทคโนโลยีสารสนเทศและการสื่อสาร,SPECIAL TOPICS IN INFORMATION AND COMMUNICATION TECHNOLOGY,3,3,3
322378,ระบบการวางแผนทรัพยากรระดับองค์กรธุรกิจ,ENTERPRISE RESOURCE PLANNING SYSTEM,3,3,3
322215,ปฏิบัติการทางเทคโนโลยีสารสนเทศและการสื่อสาร:การเขียนโปรแกรมขั้นสูง,INFORMATION AND COMMUNICATION TECHNOLOGY LABORATORY :ADVANCED PROGRAMMING,3,3,3
322252,การเขียนโปรแกรมจาวาขั้นสูง,ADVANCED PROGRAMMING IN JAVA,3,3,3
322271,เทคโนโลยีอินเทอร์เน็ตและวิศวกรรมเว็บ,INTERNET TECHNOLOGIES AND WEB ENGINEERING,3,3,3
322323,ปฏิบัติการทางเทคโนโลยีสารสนเทศและการสื่อสาร:ระบบเครือข่าย 2,INFORMATION AND COMMUNICATION TECHNOLOGY LABORATORY:NETWORKING SYSTEM II,3,3,3
324201,ภูมิสารสนเทศศาสตร์ขั้นมูลฐาน,FUNDAMENTALS OF GEO-INFORMATIONS,3,3,3
324202,ระบบสารสนเทศภูมิศาสตรขั้นแนะนำ,INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEM,3,3,3
324211,การรับรู้จากระยะไกล,REMOTE SENSING,3,3,3
322331,การประยุกต์คอมพิวเตอร์ในธุรกิจ,COMPUTER APPLICATION IN BUSINESS,3,3,3
322219,การเขียนโปรแกรมเชิงวัตถุ,OBJECT-ORIENTED PROGRAMMING,3,3,3
322375,เทคโนโลยี XML และการประยุกต์,XML TECHNOLOGIES AND APPLICATIONS,3,3,3
322376,ความมั่นคงเทคโนโลยีสารสนเทศและการสื่อสาร,INFORMATION AND COMMUNICATION TECHNOLOGY SECURITY,3,3,3
322333,ระบบฐานข้อมูลขั้นสูง,ADVANCED DATABASE SYSTEMS,3,3,3
322334,การพัฒนาการประยุกต์แบบรับ-ให้บริการ,CLIENT/SERVER APPLICATION DEVELOPMENT,3,3,3
322336,ระบบฐานข้อมูลและการออกแบบ,DATABASE SYSTEMS AND DESIGN,3,3,3
322337,ปฏิบัติการทางเทคโนโลยีสารสนเทศและการสื่อสาร:ฐานข้อมูลขั้นสูง,INFORMATION AND COMMUNICATION TECHNOLOGY LABORATORY: DATABASE,3,3,3
322338,ปฏิบัติการทางเทคโนโลยีสารสนเทศและการสื่อสาร:เทคโนโลยีบนเว็บ,INFORMATION AND COMMUNICATION TECHNOLOGY LABORATORY: WEB TECHNOLOGY,3,3,3
322473,การพัฒนาซอฟท์แวร์และการจัดการโครงการ,SOFTWARE DEVELOPMENT AND PROJECT MANAGEMENT,3,3,3
324411,การประมวลผลเชิงเลขของข้อมูลจากดาวเทียม,DIGITAL PROCESSING OF SATELLITE DATA,3,3,3
324413,การรับรู้จากระยะไกลด้วยคลื่นไมโครเวฟขั้นแนะนำ,INTRODUCTION TO MICROWAVE REMOTE SENSING,3,3,3
324421,การวางแผนการใช้ที่ดินขั้นแนะนำ,INTRODUCTION TO LAND USE PLANNING,3,3,3
324311,รูปถ่ายทางอากาศและการแปลความหมาย,AERIAL PHOTOGRAPH AND INTERPRETATION,3,3,3
324494,ระเบียบวิธีการวิจัยทางภูมิสารสนเทศศาสตร์,RESEARCH METHODOLOGY IN GEO-INFORMATICS,3,3,3
324495,สหกิจศึกษา,CO-OPERATIVE EDUCATION,3,3,6
322462,การเชื่อมต่ออินเตอร์เน็ต,INTERNETWORKING,3,3,3
322491,สัมมนาทางเทคโนโลยีสารสนเทศและการสื่อสาร,SEMINAR IN INFORMATION AND COMMUNIACATION TECHNOLOGY,3,3,1
322495,สหกิจศึกษา,CO-OPERATIVE EDUCATION,3,3,6
322421,ปฏิบัติการระบบข่ายงานและระบบปฏิบัติการ,NETWORKING AND OPERATING SYSTEMS LABORATORY,3,3,3
322461,สถาปัตยกรรมเครือข่าย,NETWORK ARCHITECTURE,3,3,3
322496,โครงการคอมพิวเตอร์ 2,COMPUTER PROJECT II,3,3,4
322221,ระบบปฏิบัติการ,OPERATING SYSTEMS,3,3,3
322236,การเขียนโปรแกรมประยุกต์บนเว็บ,WEB APPLICATION PROGRAMMING,3,3,3
322237,เทคโนโลยีเชิงวัตถุ,OBJECT-ORIENTED TECHNOLOGY,3,3,3
322737,นวัตกรรมและองค์กรเรียนรู้,INNOVATION AND LEARNING ORGANIZATION,3,3,3
322471,การจัดการเทคโนโลยีสารสนเทศ,MANAGEMANT OF INFORMATION TECHNOLOGY,3,3,3
324321,ภูมิศาสตร์กายภาพ,PHYSICAL GEOGRAPHY,3,3,3
324322,ภูมิศาสตร์ดิน,SOIL GEOGRAPHY,3,3,3
