COURSECODE,COURSENAME,COURSENAMEENG,CREDITMIN,CREDITMAX,CREDITTOTAL
SC333301,การเขียนโปรแกรมในระบบสารสนเทศภูมิศาสตร์,PROGRAMMING IN GEOGRAPHIC INFORMATION SYSTEM,3,3,3
SC348705,ธุรกิจอัจฉริยะและการวิเคราะห์,Business Intelligence and Analytics,3,3,3
SC348801,การแทนความรู้,Knowledge Representation,3,3,3
SC348804,การหาค่าที่เหมาะสมแบบหลายเกณฑ์และการวิเคราะห์การตัดสินใจ,Multicriteria Optimization and Decision Analysis,3,3,3
SC348805,ภาษาศาสตร์คอมพิวเตอร์,Computation Linguistics,3,3,3
SC348806,แนวโน้มในการเรียนรู้ของเครื่อง,Recent Trends in Machine Learning,3,3,2
SC348807,การวิเคราะห์เครือข่ายสังคม,Social Network Analysis,3,3,3
SC348809,ระบบกระจาย,Distributed Systems,3,3,3
SC348811,การวิเคราะห์ข้อมูลเชิงพื้นที่และเชิงเวลา,Spatial Temporal Data Analysis,3,3,3
SC348897,การศึกษาอิสระ,Independent Study,6,6,6
SC348898,วิทยานิพนธ์,Thesis,1,38,38
SC332103,ระบบดาวเทียมนำทางสากลขั้นแนะนำ,INTRODUCTION TO GLOBAL NAVIGATION SATELLITE SYSTEM,3,3,3
322444,การวิเคราะห์ข้อมูลขนาดใหญ่โดยแรพพิดไมเนอร์,BIG DATA ANALYTICS USING RAPIDMINER,3,3,3
SC337862,การประมวลผลภาพเชิงเลข,DIGITAL IMAGE PROCESSING,3,3,3
SC337891,สัมมนาทางการรับรู้จากระยะไกลและระบบสารสนเทศ สัมมนาทางการรับรู้จากระยะไกลและระบบสารสนเทศภูมิศาสตร์ 1,REMOTE SENSING AND GEOGRAPHIC INFORMATION SYSTEM SEMINAR I,3,1,1
SC314785,สหกิจศึกษาทางวิทยาการคอมพิวเตอร์,CO-OPERATIVE EDUCATION IN COMPUTER SCIENCE,6,6,6
SC314775,โครงงานวิทยาการคอมพิวเตอร์ 2,COMPUTER SCIENCE PROJECT II,3,3,3
SC322301,ตรรกะดิจิทัลและระบบฝังตัว,DIGITAL LOGIC AND EMBEDDED SYSTEMS,3,3,3
SC323004,การบริหารโครงการ,PROJECT MANAGEMENT,3,3,3
SC323107,การเป็นผู้ประกอบการเทคโนโลยีสารสนเทศ,INFORMATION TECHNOLOGY ENTREPRENEURSHIP,3,3,3
SC348704,ปัญญาประดิษฐ์,Artificial Intelligence,3,3,3
SC348810,การพัฒนาซอฟต์แวร์และการจัดการโครงการสำหรับวิทยาการข้อมูลและปัญญาประดิษฐ์,Software Development and Project Management for Data Science and Artificial Intelligence,3,3,3
SC313103,การวิเคราะห์วิทยาข้อมูลและการทำเหมืองข้อมูล,DATA ANALYTICS AND MINING,3,3,3
SC319911,การออกแบบภาษาโปรแกรม,PROGRAMMING LANGUAGE DESIGN,3,3,3
SC319912,การเขียนโปรแกรมแบบขนาน,PARALLEL PROGRAMMING,3,3,3
SC319921,คณิตศาสตร์ดิสครีตขั้นสูง,ADVANCED DISCRETE MATHEMATICS,3,3,3
SC319922,ทฤษฎีการคำนวณ,THEORY OF COMPUTATION,3,3,3
SC319923,การออกแบบและวิเคราะห์ขั้นตอนวิธี,DESIGN AND ANALYSIS OF ALGORITHMS,3,3,3
SC319924,การวิเคราะห์เชิงตัวเลขและการประยุกต์,NUMERICAL ANALYSIS AND APPLICATIONS,3,3,3
SC319925,ทฤษฎีของระบบปฏิบัติการ,THEORY OF OPERATING SYSTEM,3,3,3
SC319926,วิธีสถิติแบบหลายตัวแปร,MULTIVARIATE STATISITCAL METHODS,3,3,3
SC319931,ระบบฐานข้อมูล,DATABASE SYSTEMS,3,3,3
SC319932,วิธีวิทยาซอฟต์แวร์,SOFTWARE METHODOLOGY,3,3,3
SC319933,การออกแบบเชิงวัตถุ,OBJECT-ORIENTED DESIGN,3,3,3
SC319934,การจัดการโครงการซอฟต์แวร์ขนาดใหญ่,LARGE SCALE SOFTWARE PROJECT MANAGEMENT,3,3,3
SC319941,การจัดระบบคอมพิวเตอร์,COMPUTER SYSTEM ORGANIZATION,3,3,3
SC319942,เครือข่ายคอมพิวเตอร์,COMPUTER NETWORKS,3,3,3
SC319943,การออกแบบระบบดิจิทัลที่ทนต่อความผิดพร่อง,DESIGN OF FAULT-TOLERANT DIGITAL SYSTEMS,3,3,3
SC319994,สัมมนาดุษฎีนิพนธ์ 4,DISSERTATION SEMINAR IV,1,1,1
SC319944,การวิเคราะห์ระบบคอมพิวเตอร์,COMPUTER SYSTEM ANALYSIS,3,3,3
SC319945,ระบบคอมพิวเตอร์แบบกระจาย,DISTRIBUTED COMPUTER SYSTEMS,3,3,3
SC319946,ขั้นตอนวิธีเชิงตัวเลขแบบขนาน,PARALLEL NUMERICAL ALGORITHMS,3,3,3
SC319951,กระบวนทัศน์ปัญญาประดิษฐ์,PARADIGMS OF ARTIFICIAL INTELLIGENCE,3,3,3
SC319971,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 1,SPECIAL TOPICS IN COMPUTER SCIENCE I,3,3,3
SC319972,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 2,SPECIAL TOPICS IN COMPUTER SCIENCE II,3,3,3
SC319973,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 3,SPECIAL TOPICS IN COMPUTER SCIENCE III,3,3,3
SC319974,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 4,SPECIAL TOPICS IN COMPUTER SCIENCE IV,3,3,3
SC319975,หัวข้อพิเศษทางวิทยาการคอมพิวเตอร์ 5,SPECIAL TOPICS IN COMPUTER SCIENCE V,3,3,3
SC319981,ระเบียบวิธีวิจัย,RESEARCH METHODOLOGY,2,2,2
SC319991,สัมมนาดุษฎีนิพนธ์ 1,DISSERTATION SEMINAR I,1,1,1
SC319992,สัมมนาดุษฎีนิพนธ์ 2,DISSERTATION SEMINAR II,1,1,1
SC319993,สัมมนาดุษฎีนิพนธ์ 3,DISSERTATION SEMINAR III,1,1,1
SC319996,ดุษฎีนิพนธ์,DISSERTATION,1,48,48
SC319997,ดุษฎีนิพนธ์,DISSERTATION,1,72,72
SC319998,ดุษฎีนิพนธ์,DISSERTATION,1,36,36
SC319999,ดุษฎีนิพนธ์,DISSERTATION,1,48,48
SC337961,การรับรู้จากระยะไกลขั้นสูง,ADVANCED REMOTE SENSING,3,3,3
SC337981,ระบบสารสนเทศภูมิศาสตร์ขั้นสูง,ADVANCED GEOGRAPHIC INFORMATION SYSTEM,3,3,3
SC337991,สัมมนาดุษฎีนิพนธ์ 1,DISSERTATION SEMINAR I,3,3,1
SC337992,สัมมนาดุษฎีนิพนธ์ 2,DISSERTATION SEMINAR II,3,3,1
SC337993,สัมมนาดุษฎีนิพนธ์ 3,DISSERTATION SEMINAR III,3,3,1
SC337996,ดุษฎีนิพนธ์,DISSERTATION,1,48,48
SC337997,ดุษฎีนิพนธ์,DISSERTATION,1,72,72
SC337998,ดุษฎีนิพนธ์,DISSERTATION,1,36,36
SC337999,ดุษฎีนิพนธ์,DISSERTATION,1,48,48
342496,โครงงานคอมพิวเตอร์ 2,COMPUTER PROJECT II,3,3,3
SC313004,วิศวกรรมซอฟต์แวร์,SOFTWARE ENGINEERING,3,3,3
SC313005,ทฤษฎีการคำนวณ,THEORY OF COMPUTATION,3,3,3
SC313006,ปัญญาประดิษฐ์,ARTIFICIAL INTELLIGENCE,3,3,3
SC313101,วิทยาการคำนวณ,COMPUTATIONAL SCIENCE,3,3,3
SC313102,โครงข่ายประสาท,NEURAL NETWORKS,3,3,3
SC313103,การวิเคราะห์วิทยาข้อมูลและการทำเหมืองข้อมูล,DATA ANALYTICS AND MINING,3,3,3
SC313107,การวิเคราะห์ข้อมูลขนาดใหญ่,BIG DATA ANALYTICS,3,3,3
SC313201,การประมวลผลภาพดิจิทัล,DIGITAL IMAGE PROCESSING,3,3,3
SC313302,การเชื่อมต่ออินเตอร์เน็ต,INTERNETWORKING,3,3,3
SC333033,ภูมิศาสตร์ของดิน,SOIL GEOGRAPHY,3,3,3
SC334003,ภูมิสารสนเทศศาสตร์ประยุกต์,APPLIED GEO-INFORMATICS,3,3,3
SC332102,หลักการทำแผนที่,PRINCIPLES OF CARTOGRAPHY,2,2,2
SC332213,การสำรวจรังวัดและระบบกำหนดตำแหน่งบนโลก,SURVEYING AND GLOBAL POSITIONING SYSTEM,3,3,3
SC333201,การวิเคราะห์เชิงพื้นที่,GEOSPATIAL ANALYSIS,3,3,3
SC333012,การประมวลผลเชิงเลขของข้อมูลจากดาวเทียม,DIGITAL PROCESSING OF SATELLITE DATA,3,3,3
SC333212,หลักการโฟโตแกรมเมตรี,PRINCIPLES OF PHOTOGRAMMETRY,3,3,3
SC333214,การรับรู้จากระยะไกลด้วยคลื่นไมโครเวฟขั้นแนะนำ,INTRODUCTION TO MICROWAVE REMOTE SENSING,3,3,3
SC333034,การวางแผนการใช้ที่ดินขั้นแนะนำ,INTRODUCTION TO LAND USE PLANNING,3,3,3
SC333202,การวางผังเมืองและภูมิสารสนเทศศาสตร์,CITY PLANNING AND GEO-INFORMATICS,3,3,3
SC333701,สัมมนาทางภูมิสารสนเทศศาสตร์,SEMINAR IN GEO-INFORMATICS,3,3,1
SC333702,ระเบียบวิธีวิจัยทางภูมิสารสนเทศศาสตร์,RESEARCH METHODOLOGY IN GEO-INFORMATICS,3,3,3
CP353203,การพัฒนาโปรแกรมประยุกต์เสมือนจริง,Virtual Reality Application Development,3,3,3
CP378811,ระบบดาวเทียมนาทางสากล,Global Navigation Satellite System,3,3,3
CP378821,หลักการการรับรู้จากระยะไกล,Principles of Remote Sensing,3,3,3
CP378831,ระบบสารสนเทศภูมิศาสตร์,Geographic Information System,3,3,3
CP378891,สัมมนาทางภูมิสารสนเทศศาสตร์ 1,Geo-Informatics Seminar I,1,1,1
CP378892,สัมมนาทางภูมิสารสนเทศศาสตร์ 2,Geo-Informatics Seminar II,1,1,1
CP378897,การศึกษาอิสระ,Independent Study,6,6,6
CP353204,การพัฒนาโปรแกรมประยุกต์บนเว็บ,Web Application Development,3,3,3
CP353301,การเชื่อมต่ออินเทอร์เน็ต,Internetworking,3,3,3
CP353302,ความมั่นคงสารสนเทศและไซเบอร์,Information and Cyber Security,3,3,3
CP353303,วิทยาการเข้ารหัสลับและความมั่นคงระบบเครือข่าย,Cryptography and Network Security,3,3,3
CP353304,การวางระบบอัตโนมัติแพลตฟอร์มสมาร์ต,Smart Platform Automation,3,3,3
CP353305,อินเทอร์เน็ตของสรรพสิ่ง,Internet of Things,3,3,3
CP353306,วิศวกรรม DevOps,DevOps Engineering,3,3,3
CP353761,สัมมนาทางวิทยาการคอมพิวเตอร์,Seminar in Computer Science,1,1,1
CP353764,ระเบียบวิธีวิจัย,Research Methodology,3,3,3
CP353796,การฝึกงานทางวิทยาการคอมพิวเตอร์,Internship in Computer Science,3,3,3
CP354771,โครงงานทางวิทยาการคอมพิวเตอร์ 1,Computer Science Project I,3,3,3
CP354772,โครงงานทางวิทยาการคอมพิวเตอร์ 2,Computer Science Project II,3,3,3
CP354785,สหกิจศึกษาทางวิทยาการคอมพิวเตอร์,Co-Operative Education in Computer Science,6,6,6
CP350001,การเขียนโปรแกรมคอมพิวเตอร์ 1,Computer Programming I,3,3,3
CP350002,โครงสร้างข้อมูล,Data Structure,3,3,3
CP371041,ภูมิศาสตร์กายภาพ,Physical Geography,3,3,3
CP372002,ระบบสารสนเทศภูมิศาสตร์ขั้นแนะนำ,Introduction to Geographic Information System,3,3,3
CP372011,หลักมูลการรับรู้จากระยะไกล,Fundamentals of Remote Sensing,3,3,3
CP372012,การประมวลผลเชิงเลขของข้อมูลจากดาวเทียม,Digital Processing of Satellite Data,3,3,3
CP372021,ระบบดาวเทียมนาทางสากลขั้นแนะนำ,Introduction to Global Navigation Satellite System,3,3,3
CP373003,หลักการทำแผนที่,Principles of Cartography,3,3,3
CP373004,ภูมิสารสนเทศศาสตร์ประยุกต์,Applied Geo-informatics,3,3,3
CP373032,การเขียนโปรแกรมในระบบสารสนเทศภูมิศาสตร์,Programming in Geographic Information System,3,3,3
CP373042,การวางแผนการใช้ที่ดินขั้นแนะนำ,Introduction to Land Use Planning,3,3,3
CP373101,การวางผังเมืองและภูมิสารสนเทศศาสตร์,City Planning and Geo-informatics,3,3,3
CP373111,การรับรู้จากระยะไกลด้วยคลื่นไมโครเวฟขั้นแนะนำ,Introduction to Microwave Remote Sensing,3,3,3
CP373112,การทำแผนที่ด้วยอากาศยานไร้คนขับ,Unmanned Aerial Vehicle Mapping,3,3,3
CP373122,การสารวจรังวัดเบื้องต้น,Introduction to Surveying,3,3,3
CP373201,การวิเคราะห์เชิงพื้นที่,Geospatial Analysis,3,3,3
CP373231,การประยุกต์ทาแผนที่บนเว็บ,Web mapping application,3,3,3
CP373232,การจัดการฐานข้อมูลเชิงพื้นที่,Spatial Database Management,3,3,3
CP373701,ระเบียบวิธีวิจัยในภูมิสารสนเทศศาสตร์,Research Methodology in Geo-informatics,3,3,3
CP374702,โครงงานวิจัยในภูมิสารสนเทศศาสตร์ 1,Research Project in Geo-Informatics I,3,3,3
CP374703,โครงงานวิจัยในภูมิสารสนเทศศาสตร์ 2,Research Project in Geo-Informatics II,3,3,3
CP379981,ระเบียบวิธีวิจัย,Research Methodology,3,3,3
CP379991,สัมมนาดุษฎีนิพนธ์ 1,Dissertation Seminar I,1,1,1
CP379992,สัมมนาดุษฎีนิพนธ์ 2,Dissertation Seminar II,1,1,1
CP379993,สัมมนาดุษฎีนิพนธ์ 3,Dissertation Seminar III,1,1,1
CP379996,ดุษฎีนิพนธ์,Dissertation,1,48,48
CP379997,ดุษฎีนิพนธ์,Dissertation,1,72,72
CP379998,ดุษฎีนิพนธ์,Dissertation,1,36,36
CP379999,ดุษฎีนิพนธ์,Dissertation,1,48,48
CP001001,เอ บี ซี ดี สำหรับทุกวิชาชีพ,ABCD for All Professions,3,3,3
CP378898,วิทยานิพนธ์,Thesis,1,38,38
CP378899,วิทยานิพนธ์,Thesis,1,12,12
CP373702,โครงงานวิจัยในภูมิสารสนเทศศาสตร์ 1,Research Project in Geo-Informatics I,3,3,3
CP373703,โครงงานวิจัยในภูมิสารสนเทศศาสตร์ 2,Research Project in Geo-Informatics II,3,3,3
CP373784,การฝึกงานทางภูมิสารสนเทศศาสตร์,Internship in Geo-Informatics,3,3,3
CP373785,สหกิจศึกษาทางภูมิสารสนเทศศาสตร์,Co-Operative Education in Geo-Infromatics,6,6,6
CP378721,การรับรู้จากระยะไกลไมโครเวฟ,Microwave Remote Sensing,3,3,3
CP378722,การทำแผนที่ด้วยอากาศยานไร้คนขับแบบอัจฉริยะ,Intelligent Unmanned Aerial Vehicle Mapping,3,3,3
CP378731,ระบบสารสนเทศการจัดการทรัพยากร,Resource Management Information System,3,3,3
CP378732,สถิติศาสตร์เชิงพื้นที่,Spatial Statistics,3,3,3
CP378733,ระบบการจัดการฐานข้อมูลและมาตรฐานระบบสารสนเทศภูมิศาสตร์,Database Management System and Geographic Information System Standard,3,3,3
CP378734,ระบบสารสนเทศภูมิศาสตร์บนอินเทอร์เน็ต,Internet Geographic Information System,3,3,3
CP378735,แบบจำลองและการวิเคราะห์ข้อมูลเชิงพื้นที่,Spatial Data Analytics and Modeling,3,3,3
CP378736,การเขียนโปรแกรมขั้นสูงในระบบสารสนเทศภูมิศาสตร์,Advanced Programming in Geographic Information System,3,3,3
CP378737,ระบบสารสนเทศภูมิศาสตร์สาหรับการวางผังเมือง,Geographic Information System for Urban Planning,3,3,3
CP378741,ทรัพยากรที่ดินและสิ่งแวดล้อม,Land Resources and Environment,3,3,3
CP378742,การประเมินที่ดินและการวางแผนการใช้ที่ดิน,Land Evaluation and Land Use Planning,3,3,3
CP378771,ปัญหาพิเศษทางภูมิสารสนเทศศาสตร์,Special Problems in Geo-Informatics,3,3,3
CP002001,การเตรียมความพร้อมก่อนปฏิบัติงานสหกิจศึกษาสำหรับนักศึกษาวิทยาลัยการคอมพิวเตอร์,Orientation to Co-Operative Education for Computing Students,1,1,1
CP351003,การเขียนโปรแกรมเชิงวัตถุ,Object Oriented Programming,3,3,3
CP351004,สถาปัตยกรรมคอมพิวเตอร์,Computer Architecture,3,3,3
CP351101,วิทยาการคำนวณ,Computational Science,3,3,3
CP351201,คอมพิวเตอร์แอนิเมชัน,Computational Science,3,3,3
CP371001,หลักมูลภูมิสารสนเทศศาสตร์,Fundamentals of Geo-informatics,3,3,3
CP371031,เทคโนโลยีสารสนเทศขั้นพื้นฐาน,Basics of Information Technology,3,3,3
CP351001,วิทยาการคอมพิวเตอร์หลักมูล,Fundamental Computer Science,3,3,3
CP351002,การเขียนโปรแกรมเชิงโครงสร้างสำหรับวิทยาการคอมพิวเตอร์,Structure Programming Languages for Computer Science,3,3,3
CP352001,โครงสร้างข้อมูล,Data Structure,3,3,3
CP352002,การออกแบบประสบการณ์ผู้ใช้,User Experience Design,3,3,3
CP352003,ระบบจัดการฐานข้อมูลและการออกแบบฐานข้อมูล,Database Management System and Database Design,3,3,3
CP352004,ปฏิบัติการระบบจัดการฐานข้อมูลและการออกแบบฐานข้อมูล,Database Management System and Database Design Laboratory,1,1,1
CP352005,เครือข่ายคอมพิวเตอร์,Computer Networks,3,3,3
CP352006,การวิเคราะห์ขั้นตอนวิธี,Analysis of Algorithms,3,3,3
CP352101,วิทยาการข้อมูลขั้นแนะนำ,Introduction to Data Science,3,3,3
CP352102,การประมวลผลภาพดิจิทัล,Digital Image Processing,3,3,3
CP352103,การเขียนโปรแกรมเชิงแข่งขัน,Competitive Programming,3,3,3
CP352104,หัวข้อพิเศษทางปัญญาประดิษฐ์และวิทยาการข้อมูล,Special Topics in Artificial Intelligence and Data Science,3,3,3
CP352201,เทคโนโลยีการออกแบบเว็บ,Web Design Technologies,3,3,3
CP352202,การเขียนโปรแกรมสำหรับโมบายแอปพลิเคชัน,Programming for Mobile Application,3,3,3
CP352203,การพัฒนาเกมคอมพิวเตอร์,Computer Game Development,3,3,3
CP352204,การวิเคราะห์และออกแบบระบบ,System Analysis and Design,3,3,3
CP352205,หัวข้อพิเศษทางการพัฒนาสื่อผสมและโปรแกรมประยุกต์,Special Topics in Multimedia and Application Development,3,3,3
CP352301,การเขียนโปรแกรมสคริปต์,Script Programming,3,3,3
CP352302,เครือข่ายสื่อสารไร้สายและเคลื่อนที่,Wireless and Mobile Communication Networks,3,3,3
CP352303,หัวข้อพิเศษทางระบบและเครือข่ายอัจฉริยะ,Special Topics in Smart System and Intelligent Network,3,3,3
CP353001,ระบบปฏิบัติการและการเขียนโปรแกรมซีสเต็มคอล,Operating Systems and System Calls Programming,3,3,3
CP353002,หลักการออกแบบพัฒนาซอฟต์แวร์,Principles of Software Design and Development,3,3,3
CP353003,ปัญญาประดิษฐ์,Artificial Intelligence,3,3,3
CP353004,วิศวกรรมซอฟต์แวร์,Software Engineering,3,3,3
CP353005,ทฤษฎีการคำนวณ,Theory of Computation,3,3,3
CP353101,วิศวกรรมข้อมูล,Data Engineering,3,3,3
CP353102,เครื่องจักรเรียนรู้ขั้นนำ,Introduction to Machine Learning,3,3,3
CP353103,การวิเคราะห์และการประยุกต์ข้อมูล,Data Analytics and Application,3,3,3
CP353104,หลักภาษาโปรแกรม,Principles of Programming Languages,3,3,3
CP353105,การออกแบบภาษาโปรแกรม,Programming Language Design,3,3,3
CP353106,การค้นคืนสารสนเทศ,Information Retrieval,3,3,3
CP353107,การจัดการความรู้,Knowledge Management,3,3,3
CP353108,โครงข่ายประสาทและการเรียนรู้เชิงลึก,Neural Network and Deep Learning,3,3,3
SC313506,พื้นฐานการทวนสอบเชิงรูปนัย,FUNDAMENTALS OF FORMAL VERIFICATION,3,3,3
CP353202,การพัฒนาโปรแกรมประยุกต์สาหรับองค์กร,Enterprise Application Development,3,3,3
CP353109,การประมวลผลภาษาธรรมชาติ,Natural Language Processing,3,3,3
CP353110,ปฏิบัติการปัญญาประดิษฐ์,Artificial Intelligence Workshop,3,3,3
CP353111,การเขียนโปรแกรมคอมพิวเตอร์ควอนตัม,Quantum Computer Programming,3,3,3
CP353201,การประกันคุณภาพซอฟต์แวร์,Software Quality Assurance,3,3,3
